Time,LL Dry Pump PCW Flow,LL Turbo Pump PCW Flow,Backing Dry Pump PCW Flow,PCC Door Inwall PCW Flow,RPD G1 Electrode PCW Flow,RPD G2 Electrode PCW Flow,RPD Streering Coil PCW Flow,RPD Main Hearth PCW Flow,RPD Beam Guide PCW Flow,PCC Chamber Inwall PCW Flow,PCC Turbo Pump PCW Flow,TR1 Cooling Plate PCW Flow,TR2 Chamber PCW Flow,TR3 Chamber PCW Flow,UL Turbo Pump PCW Flow,UL Dry Pump PCW Flow,PCW Temperature,
2023-05-18 17:06:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-18 17:06:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-18 17:06:36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-18 17:06:37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-18 17:06:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-18 17:06:39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-18 17:06:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-18 17:06:41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-18 17:06:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-18 17:06:43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-18 17:06:44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
