Time,LL Pressure,LL Between TP And Ev-1 Pressure,LL Between exhaust DP And EV Pressure,TR(C) Pressure,TR(C) No-Offset Pressure,TR(PH) Pressure,TR Between TP And EV-3 Pressure,UL Pressure,UL Between TP And EV-2 Pressure,SHI TSS Pressure,SHI Between TP And EV-4 Pressure,SHI Between DP And RV-4 Pressure,
2023-04-24 15:15:46,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-24 15:15:48,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-24 15:15:52,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-24 15:16:09,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-24 15:16:27,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-24 15:16:47,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-24 15:17:11,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-24 15:17:29,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-24 15:17:49,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-24 15:25:10,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-24 15:25:14,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-24 15:25:18,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-24 15:25:23,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-24 15:25:28,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-24 15:25:34,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-24 15:25:41,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-24 15:25:46,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-24 15:25:53,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-24 15:26:01,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-24 15:26:08,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-24 15:26:15,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-24 15:26:21,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-24 15:26:27,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-24 15:26:33,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-24 15:26:40,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-24 15:26:49,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-24 15:26:58,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-24 15:27:07,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-24 15:27:15,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-24 15:27:22,0,0,0,0,0,0,0,0,0,0,0,0,
2023-04-24 15:27:30,0,0,0,0,0,0,0,0,0,0,0,0,
