Time,R-Gun Set Current of Hearth-Coil,R-Gun Current of Hearth-Coil,R-Gun Set Current of Streering-Coil,R-Gun Current of Streering-Coil,R-Gun Set Current of G2-Coil,R-Gun Current of G2-Coil,R-Gun Current of Main Hearth,R-Gun Current of Beam Guide,R-Gun Voltage of Main Hearth,R-Gun Voltage of Beam Guide,R-Gun Discharge Voltage,R-Gun MH Push Up Level,
2023-05-23 11:20:11,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-23 11:20:13,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-23 11:20:14,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-23 11:20:15,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-23 11:20:16,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-23 11:20:19,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-23 11:20:20,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-23 11:20:23,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-23 11:20:25,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-23 11:20:26,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-23 11:20:27,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-23 11:20:28,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-23 11:20:29,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-23 11:20:30,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-23 11:20:31,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-23 11:20:32,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-23 11:20:35,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-23 11:20:36,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-23 11:20:37,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-23 11:20:38,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-23 11:20:39,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-23 11:20:41,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-23 11:20:42,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-23 11:20:43,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-23 11:20:44,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-23 11:20:46,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-23 11:20:49,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-23 11:20:50,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-23 11:20:51,0,0,0,0,0,0,0,0,0,0,0,0,
2023-05-23 11:20:52,0,0,0,0,0,0,0,0,0,0,0,0,
